127.0.0.1, 2013-11-06 10:38:33, GET, /admin/default/site, HTTP/1.1, 200, 0.062653
127.0.0.1, 2013-11-06 10:38:33, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 304, 0.000579
127.0.0.1, 2013-11-06 10:38:33, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 304, 0.000545
127.0.0.1, 2013-11-06 10:38:33, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000568
127.0.0.1, 2013-11-06 10:38:33, POST, /admin/default/check_version, HTTP/1.1, 200, 0.394479
127.0.0.1, 2013-11-06 10:38:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000372
127.0.0.1, 2013-11-06 10:38:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000306
127.0.0.1, 2013-11-06 10:38:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/default/index, HTTP/1.1, 200, 0.050941
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000631
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000458
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000608
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000656
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000603
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000512
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000453
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000664
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000664
127.0.0.1, 2013-11-06 10:47:28, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000606
